part_sku,description,category,vehicle_make,vehicle_model,model_year_start,model_year_end,unit_cost,supplier_id,lifecycle_status,supersession_sku,gst_rate,pack_size,pack_cost,critical_spare,score_norm,supplier_variation_factor,unit_cost_new
SKU_BRK_001,Brake Pad Set Front,Brake System,Maruti Suzuki,Swift/Baleno/Dzire,2015,2024,800,SUP_003,Active,,0.28,4,3000,False,0.85,1.05,840
SKU_BRK_002,Brake Disc Front,Brake System,Maruti Suzuki,Swift/Baleno,2015,2024,2200,SUP_003,Active,,0.28,2,4200,True,0.72,1.08,2376
SKU_ENG_001,Engine Oil Filter,Engine Components,Hyundai,i20/Creta,2016,2024,180,SUP_001,Active,,0.18,10,1700,False,0.92,1.02,183
SKU_ENG_002,Air Filter,Engine Components,Hyundai,i20/Creta/Venue,2016,2024,320,SUP_001,Active,,0.18,5,1500,False,0.88,1.03,329
SKU_SUS_001,Suspension Strut Front,Suspension,Tata,Nexon/Harrier,2017,2024,3500,SUP_005,Active,,0.28,2,6800,True,0.68,1.12,3920
SKU_ELC_001,Car Battery 12V 45Ah,Electrical,Universal,All Models,2015,2024,3200,SUP_002,Active,,0.28,1,3200,False,0.8,1.06,3392
SKU_ELC_002,Spark Plug Set (4pcs),Electrical,Honda,City/Amaze,2015,2024,520,SUP_004,Active,,0.18,4,2000,False,0.9,1.04,540
SKU_CLG_001,Coolant Hose Upper,Cooling System,Mahindra,XUV300/Scorpio,2018,2024,450,SUP_006,Active,,0.18,8,3400,False,0.75,1.07,481
SKU_WPR_001,Wiper Blade Set,Body/Exterior,Universal,All Models,2015,2024,280,SUP_007,Active,,0.18,6,1600,False,0.95,1.01,282
SKU_CLT_001,Clutch Kit Complete,Transmission,Maruti Suzuki,Swift/Baleno,2015,2024,4200,SUP_003,Active,,0.28,1,4200,True,0.65,1.15,4830
